"Ticker","Nome","Negócios","Última (R$)","Variação"
"BEEF3","Minerva","84.329.000","6,42","-13,48%"
"CSAN3","Cosan","53.917.500","6,08","-0,65%"
"AMBP3","Ambipar","45.913.800","0,29","-9,38%"
"PETR4","Petrobras","43.435.700","31,01","+0,52%"
"COGN3","Cogna","35.509.600","3,75","-1,57%"
"B3SA3","B3","33.002.800","13,10","-0,76%"
"ITSA4","Itaúsa","29.320.000","11,84","+0,34%"
"POMO4","Marcopolo","28.019.400","6,90","-4,43%"
"RAIZ4","Raízen","27.612.100","0,89","-2,20%"
"BBAS3","Banco do Brasil","23.305.100","22,86","+1,11%"
"BBDC4","Banco Bradesco","23.203.700","18,71","-0,43%"
"ITUB4","Itaú Unibanco","22.550.000","40,13","+0,00%"
"MGLU3","Magazine Luiza","20.715.500","7,99","-8,58%"
"PCAR3","Grupo Pão de Açúcar","18.827.900","3,71","-2,11%"
"BRAV3","3R Petroleum","18.311.000","14,34","-6,58%"
"CSNA3","Siderúrgica Nacional","17.317.400","8,50","-2,41%"
"ELET3","Eletrobras","17.095.600","58,20","+0,76%"
"VALE3","Vale","15.939.100","65,50","-0,35%"
"ABEV3","Ambev","15.494.600","13,08","-0,76%"
"LREN3","Lojas Renner","15.386.600","14,56","-5,82%"
"RAIL3","Rumo","15.366.500","15,62","-1,01%"
"SMFT3","Smart Fit","15.205.900","24,30","-4,59%"
"CPLE6","Copel","15.160.700","14,22","-1,59%"
"VAMO3","Grupo Vamos","15.034.600","3,55","-2,47%"
"MOTV3","Motiva","13.293.000","16,18","+0,94%"
"CVCB3","CVC","13.274.000","1,84","-5,15%"
"RDOR3","Rede D'Or","13.087.600","47,44","+8,36%"
"GGBR4","Gerdau","12.505.000","19,12","+0,16%"
"PETR3","Petrobras","12.473.000","32,70","+0,09%"
"ASAI3","Assaí","12.154.100","8,77","-2,01%"
"VBBR3","Vibra Energia","12.030.600","24,70","+1,56%"
"RADL3","RaiaDrogasil","11.251.100","20,96","+3,76%"
"WEGE3","WEG","11.139.300","43,91","+0,92%"
"ANIM3","Ânima Educação","10.521.900","3,32","-4,60%"
"PRIO3","PetroRio","10.371.600","38,46","+1,72%"
"CMIG4","Cemig","9.767.300","11,73","-0,76%"
"UGPA3","Ultrapar","9.313.700","22,12","+0,09%"
"CBAV3","CBA","9.026.400","5,08","+2,01%"
"USIM5","Usiminas","8.146.900","5,42","-2,34%"
"AURE3","Auren Energia","7.844.600","11,67","+0,60%"
"PETZ3","Petz","7.794.700","3,95","+4,50%"
"EQTL3","Equatorial Energia","7.561.100","37,60","+0,75%"
"TIMS3","TIM","7.396.500","24,48","-2,12%"
"LJQQ3","Lojas Quero-Quero","7.190.700","2,00","-8,26%"
"CMIN3","CSN Mineração","6.843.600","5,86","-1,68%"
"RENT3","Localiza","6.800.000","41,15","-1,01%"
"ENEV3","Eneva","6.729.500","19,15","+1,32%"
"GOAU4","Metalúrgica Gerdau","6.650.800","11,09","-0,63%"
"MBRF3","Marfrig","6.501.200","17,24","-3,31%"
"CASH3","Méliuz","6.181.900","4,54","-0,22%"
"AZUL4","Azul","6.049.000","1,14","-2,56%"
"BPAC11","Banco BTG Pactual","5.821.100","50,22","-0,34%"
"MRVE3","MRV","5.815.100","7,63","-1,68%"
"CPLE3","Copel","5.795.900","13,37","-1,76%"
"KLBN4","Klabin","5.703.200","3,68","-1,60%"
"CEAB3","C&A","5.587.300","16,39","-5,48%"
"SUZB3","Suzano","5.485.600","48,65","-0,51%"
"NATU3","NATURA","5.477.000","9,20","+0,88%"
"VIVA3","Vivara","5.135.600","31,82","+2,02%"
"KEPL3","Kepler Weber","5.000.300","9,90","+1,12%"
"ECOR3","EcoRodovias","4.991.900","8,49","+1,80%"
"YDUQ3","YDUQS","4.819.600","13,20","-2,94%"
"SRNA3","Serena Energia","4.756.700","12,63","+0,72%"
"CXSE3","Caixa Seguridade","4.670.200","15,15","+1,00%"
"ELET6","Eletrobras","4.626.000","61,45","+0,84%"
"AZEV4","Azevedo & Travassos","4.550.500","0,32","-3,03%"
"BRAP4","Bradespar","4.464.600","19,18","+0,05%"
"BBSE3","BB Seguridade","4.432.900","34,23","+1,42%"
"CYRE3","Cyrela","4.396.000","32,09","+1,33%"
"SIMH3","Simpar","4.192.800","4,87","-4,32%"
"AZTE3","AZT Energia","4.102.800","0,41","+2,50%"
"BHIA3","Casas Bahia","3.794.200","3,36","-3,72%"
"SANB11","Banco Santander","3.769.700","32,21","-0,89%"
"TOTS3","Totvs","3.683.800","45,65","+3,00%"
"SBSP3","Sabesp","3.637.300","136,42","+0,12%"
"KLBN11","Klabin","3.618.500","18,38","-1,50%"
"GUAR3","Guararapes","3.572.000","10,77","+3,56%"
"RECV3","PetroRecôncavo","3.567.500","12,52","-1,03%"
"OIBR3","Oi","3.532.000","0,29","-6,45%"
"BRKM5","Braskem","3.486.900","6,36","-5,50%"
"DIRR3","Direcional","3.335.300","17,25","+1,05%"
"TEND3","Construtora Tenda","3.327.800","22,70","-3,40%"
"DXCO3","Dexco","3.311.800","5,40","-1,28%"
"MOVI3","Movida","3.203.600","9,31","-3,52%"
"MYPK3","Iochpe-Maxion","3.164.300","10,96","+0,37%"
"MULT3","Multiplan","3.135.300","28,44","-0,80%"
"VIVT3","Vivo","3.118.300","33,57","-0,83%"
"FLRY3","Fleury","3.117.400","15,10","+1,96%"
"EGIE3","Engie","3.114.700","42,89","+1,61%"
"ODPV3","Odontoprev","3.087.000","11,98","+2,22%"
"JHSF3","JHSF","3.078.600","6,79","-1,16%"
"BBDC3","Banco Bradesco","3.041.500","15,95","-0,31%"
"ONCO3","Oncoclínicas","3.017.300","1,91","-5,91%"
"DASA3","Dasa","2.793.800","1,88","+3,30%"
"HYPE3","Hypera","2.744.800","24,70","-1,40%"
"HAPV3","Hapvida","2.675.200","31,36","-0,76%"
"GGPS3","GPS","2.633.800","19,13","-2,00%"
"PGMN3","Pague Menos","2.542.600","4,15","+3,23%"
"ALOS3","Allos","2.508.800","26,16","+0,81%"
"BPAN4","Banco Pan","2.437.300","10,66","+0,47%"
"NEOE3","Neoenergia","2.420.100","30,30","+0,26%"
"ENGI11","Energisa","2.406.700","53,33","-1,08%"
"TAEE11","Taesa","2.389.600","40,24","+0,55%"
"SMTO3","São Martinho","2.374.000","13,26","-4,40%"
"HBOR3","Helbor","2.331.600","4,14","-3,04%"
"INTB3","Intelbras","2.257.800","12,06","-0,41%"
"GMAT3","Grupo Mateus","2.255.700","6,42","+0,31%"
"USIM3","Usiminas","2.147.400","5,44","-6,21%"
"AZZA3","Arezzo","2.096.300","28,20","-3,03%"
"LWSA3","Locaweb","2.083.200","3,80","-2,56%"
"CURY3","Cury","2.075.800","35,55","+1,08%"
"VULC3","Vulcabras","2.032.600","19,90","-1,63%"
"GRND3","Grendene","2.026.200","5,22","-1,88%"
"IGTI11","Jereissati Participações","1.992.400","25,22","-0,47%"
"IGTI11","Iguatemi","1.992.400","25,22","-0,47%"
"QUAL3","Qualicorp","1.901.300","2,53","-0,39%"
"RAPT4","Randon","1.860.200","5,97","-2,13%"
"HBSA3","Hidrovias do Brasil","1.747.600","3,98","+0,25%"
"ALPA4","Alpargatas","1.743.600","10,51","-0,66%"
"PSSA3","Porto Seguro","1.743.300","49,62","+1,41%"
"SBFG3","Grupo SBF","1.664.000","13,61","+1,04%"
"FRAS3","Fras-le","1.656.800","23,33","+1,57%"
"VTRU3","VITRUBREPCOM","1.615.300","11,80","+0,77%"
"CSMG3","COPASA","1.491.700","38,27","+0,03%"
"MLAS3","Multilaser","1.470.200","1,17","-0,85%"
"AMER3","Americanas","1.446.700","5,10","-3,59%"
"SAPR11","Sanepar","1.443.300","35,73","+1,79%"
"LIGT3","Light","1.432.300","5,96","-0,17%"
"ISAE4","ISA Energia","1.431.000","26,32","+0,61%"
"FESA4","Ferbasa","1.387.300","7,26","-4,72%"
"IFCM3","Infracommerce","1.377.500","0,11","+0,00%"
"PORT3","Wilson Sons","1.365.700","18,59","-0,32%"
"SLCE3","SLC Agrícola","1.257.300","16,11","-1,89%"
"IRBR3","IRB Brasil RE","1.237.500","51,35","-2,21%"
"TUPY3","Tupy","1.224.200","12,61","-4,97%"
"MILS3","Mills","1.215.600","13,59","+0,00%"
"JALL3","Jalles Machado","1.184.700","2,63","-3,31%"
"SAPR4","Sanepar","1.172.700","7,06","+1,73%"
